LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location11581 et al             1                   5.25                0.19                0.19                
location116 et al               14                  6.88                2.03                2.04                
location11613 et al             9                   8.36                1.08                1.08                
location11664 et al             6                   6.88                0.87                0.87                
location11706 et al             2                   4.75                0.42                0.42                
location11735 et al             2                   6.72                0.30                0.30                
location11776 et al             7                   8.36                0.84                0.84                
location11827 et al             16                  6.72                2.38                2.38                
location11868 et al             3                   7.38                0.41                0.41                
location1189 et al              8                   6.39                1.25                1.25                
location119 et al               1                   2.62                0.38                0.38                
location11913 et al             19                  8.36                2.27                2.28                
location11964 et al             0                   6.88                0                   0                   
location12006 et al             11                  7.05                1.56                1.56                
location12043 et al             4                   6.72                0.60                0.59                
location12084 et al             5                   6.72                0.74                0.74                
location12125 et al             1                   4.59                0.22                0.22                
location12153 et al             11                  6.72                1.64                1.64                
location12194 et al             2                   6.72                0.30                0.30                
location122 et al               18                  7.38                2.44                2.44                
location12235 et al             2                   4.59                0.44                0.44                
location12263 et al             1                   2.62                0.38                0.38                
location12279 et al             8                   8.20                0.98                0.98                
location1228 et al              5                   6.88                0.73                0.73                
location12329 et al             4                   8.36                0.48                0.48                
location12380 et al             4                   6.88                0.58                0.58                
location12422 et al             13                  6.72                1.93                1.94                
location12463 et al             3                   3.28                0.92                0.92                
location12483 et al             2                   3.61                0.55                0.55                
location12505 et al             11                  7.38                1.49                1.49                
location12550 et al             4                   7.05                0.57                0.57                
location12593                   0                   0.16                0                   0                   
location12594 et al             0                   3.44                0                   0                   
location12615 et al             5                   6.72                0.74                0.74                
location12656 et al             23                  6.72                3.42                3.43                
location12697 et al             13                  7.05                1.84                1.85                
location1270 et al              4                   8.03                0.50                0.50                
location12740 et al             14                  6.88                2.03                2.04                
location12782 et al             4                   7.21                0.55                0.55                
location12826 et al             12                  8.36                1.44                1.44                
location12877 et al             8                   7.38                1.08                1.08                
location12922 et al             7                   6.88                1.02                1.02                
location12964 et al             12                  7.38                1.63                1.63                
location13009 et al             10                  7.05                1.42                1.42                
location13052 et al             3                   8.03                0.37                0.37                
location13101 et al             5                   7.21                0.69                0.69                
location13145 et al             0                   6.88                0                   0                   
location13187 et al             14                  7.05                1.99                1.99                
location1319 et al              5                   8.36                0.60                0.60                
location13230 et al             2                   8.52                0.23                0.23                
location13282 et al             20                  14.75               1.36                1.36                
location13328                   0                   0.16                0                   0                   
location13329 et al             18                  8.36                2.15                2.16                
location13380 et al             6                   7.05                0.85                0.85                
location13423 et al             2                   5.90                0.34                0.34                
location13459 et al             3                   6.88                0.44                0.44                
location13501 et al             3                   7.54                0.40                0.40                
location13547 et al             9                   6.88                1.31                1.31                
location13589 et al             7                   7.21                0.97                0.97                
location13633 et al             21                  7.21                2.91                2.92                
location13677 et al             14                  6.72                2.08                2.09                
location1370 et al              5                   8.03                0.62                0.62                
location13718 et al             11                  7.87                1.40                1.40                
location13766 et al             8                   6.72                1.19                1.19                
location13807 et al             8                   8.36                0.96                0.96                
location13844 et al             5                   8.52                0.59                0.59                
location13896 et al             6                   8.20                0.73                0.73                
location13946 et al             5                   6.72                0.74                0.74                
location13987 et al             2                   6.72                0.30                0.30                
location14028 et al             1                   6.88                0.15                0.15                
location14070 et al             8                   8.03                1.00                1.00                
location14119 et al             5                   6.39                0.78                0.78                
location14158 et al             12                  7.38                1.63                1.63                
location1419 et al              9                   8.03                1.12                1.12                
location14203 et al             17                  8.36                2.03                2.04                
location14254 et al             7                   6.88                1.02                1.02                
location14296 et al             1                   6.88                0.15                0.15                
location14338 et al             8                   6.88                1.16                1.16                
location14374 et al             2                   8.20                0.24                0.24                
location14424 et al             0                   6.72                0                   0                   
location14465 et al             8                   7.38                1.08                1.08                
location14510 et al             18                  7.54                2.39                2.39                
location14556 et al             1                   6.88                0.15                0.15                
location14598 et al             7                   7.38                0.95                0.95                
location14643 et al             4                   6.88                0.58                0.58                
location1468 et al              0                   3.61                0                   0                   
location14685 et al             8                   7.38                1.08                1.08                
location14730 et al             10                  8.03                1.25                1.25                
location14779 et al             0                   6.56                0                   0                   
location14819 et al             7                   6.88                1.02                1.02                
location14861 et al             1                   0.33                3.05                3.05                
location14863 et al             7                   2.46                2.85                2.85                
location14878 et al             9                   7.54                1.19                1.19                
location1490 et al              10                  8.36                1.20                1.20                
location14924 et al             1                   7.38                0.14                0.14                
location15008 et al             11                  5.74                1.92                1.92                
location15043 et al             8                   4.59                1.74                1.74                
location15071 et al             7                   6.88                1.02                1.02                
location15113 et al             10                  5.74                1.74                1.74                
location15148 et al             5                   7.05                0.71                0.71                
location15191 et al             6                   8.36                0.72                0.72                
location15242 et al             7                   7.54                0.93                0.93                
location15288 et al             4                   7.21                0.55                0.55                
location15332 et al             2                   6.72                0.30                0.30                
location15373 et al             15                  6.88                2.18                2.18                
location1541 et al              3                   5.41                0.55                0.55                
location15415 et al             12                  6.72                1.79                1.79                
location15456 et al             12                  7.21                1.66                1.67                
location15500 et al             6                   6.72                0.89                0.89                
location15541 et al             1                   3.28                0.31                0.30                
location15561 et al             8                   7.38                1.08                1.08                
location15606 et al             14                  6.72                2.08                2.09                
location15647 et al             5                   6.88                0.73                0.73                
location15686 et al             6                   7.87                0.76                0.76                
location15734 et al             12                  8.20                1.46                1.47                
location1574 et al              7                   8.03                0.87                0.87                
location15784 et al             8                   7.38                1.08                1.08                
location15829 et al             7                   7.05                0.99                0.99                
location15872 et al             8                   7.38                1.08                1.08                
location15917 et al             5                   6.88                0.73                0.73                
location15959 et al             10                  8.36                1.20                1.20                
location16 et al                8                   6.56                1.22                1.22                
location16010 et al             4                   7.21                0.55                0.55                
location16054 et al             14                  7.54                1.86                1.86                
location16100 et al             16                  8.52                1.88                1.88                
location16152 et al             2                   7.38                0.27                0.27                
location16197 et al             7                   8.36                0.84                0.84                
location1623 et al              9                   3.61                2.50                2.50                
location16248 et al             10                  6.88                1.45                1.45                
location16290 et al             16                  8.52                1.88                1.88                
location16342 et al             21                  6.88                3.05                3.06                
location16384 et al             1                   3.77                0.27                0.27                
location16407 et al             6                   6.06                0.99                0.99                
location16444 et al             14                  7.05                1.99                1.99                
location1645 et al              12                  8.03                1.49                1.49                
location16487 et al             5                   6.72                0.74                0.74                
location16528 et al             13                  7.54                1.72                1.73                
location16574 et al             5                   13.44               0.37                0.37                
location16615 et al             10                  7.38                1.36                1.36                
location16660 et al             9                   6.23                1.44                1.45                
location16698 et al             14                  6.56                2.14                2.14                
location167 et al               0                   4.59                0                   0                   
location16738 et al             5                   6.72                0.74                0.74                
location16820 et al             4                   7.38                0.54                0.54                
location16865 et al             11                  7.05                1.56                1.56                
location16908 et al             9                   7.05                1.28                1.28                
location1694 et al              1                   8.03                0.12                0.12                
location16951 et al             10                  7.05                1.42                1.42                
location16994 et al             16                  7.05                2.27                2.27                
location17037 et al             2                   4.10                0.49                0.49                
location17062 et al             8                   7.05                1.14                1.14                
location17105 et al             10                  7.38                1.36                1.36                
location17150 et al             2                   6.88                0.29                0.29                
location17192 et al             13                  8.20                1.59                1.59                
location17242 et al             13                  7.05                1.84                1.85                
location17285 et al             11                  5.41                2.03                2.04                
location173 et al               18                  7.54                2.39                2.39                
location17318 et al             0                   3.61                0                   0                   
location17340 et al             3                   5.41                0.55                0.55                
location17373 et al             4                   8.20                0.49                0.49                
location17387 et al             16                  7.21                2.22                2.22                
location1743 et al              16                  8.03                1.99                1.99                
location17431                   0                   0.16                0                   0                   
location17432 et al             12                  7.38                1.63                1.63                
location17477 et al             6                   5.41                1.11                1.11                
location17510 et al             10                  6.23                1.61                1.61                
location17548 et al             10                  7.54                1.33                1.33                
location17594 et al             9                   7.38                1.22                1.22                
location17639 et al             7                   7.54                0.93                0.93                
location17685 et al             1                   7.21                0.14                0.14                
location17729 et al             0                   2.79                0                   0                   
location17746 et al             2                   5.41                0.37                0.37                
location17779 et al             12                  7.54                1.59                1.59                
location17825 et al             3                   7.21                0.42                0.42                
location17869 et al             3                   7.38                0.41                0.41                
location17914 et al             5                   4.43                1.13                1.13                
location1792 et al              4                   3.61                1.11                1.11                
location17941 et al             16                  7.70                2.08                2.08                
location17966 et al             12                  7.54                1.59                1.59                
location18012 et al             11                  7.38                1.49                1.49                
location18057 et al             2                   7.54                0.27                0.27                
location18103 et al             4                   6.72                0.60                0.59                
location1814 et al              14                  8.03                1.74                1.74                
location18144 et al             6                   7.70                0.78                0.78                
location18191 et al             0                   3.77                0                   0                   
location18214 et al             2                   4.43                0.45                0.45                
location18241 et al             2                   6.88                0.29                0.29                
location18283 et al             8                   6.88                1.16                1.16                
location18325 et al             4                   8.36                0.48                0.48                
location18376 et al             6                   8.36                0.72                0.72                
location18427 et al             1                   4.43                0.23                0.23                
location18454 et al             7                   4.92                1.42                1.42                
location18484 et al             15                  8.36                1.79                1.80                
location18535 et al             1                   6.72                0.15                0.15                
location18576 et al             5                   7.70                0.65                0.65                
location18623 et al             9                   6.72                1.34                1.34                
location1863 et al              4                   3.11                1.28                1.28                
location18664 et al             3                   6.72                0.45                0.45                
location18701 et al             8                   7.70                1.04                1.04                
location18748 et al             3                   8.03                0.37                0.37                
location18797 et al             18                  6.88                2.61                2.62                
location1882 et al              0                   2.46                0                   0                   
location18839 et al             6                   7.21                0.83                0.83                
location18883 et al             3                   5.08                0.59                0.59                
location18914 et al             5                   7.21                0.69                0.69                
location18958 et al             2                   8.20                0.24                0.24                
location1897 et al              11                  8.20                1.34                1.34                
location19 et al                15                  7.21                2.08                2.08                
location19008 et al             9                   7.54                1.19                1.19                
location19054 et al             1                   13.44               0.074               0.074               
location19136 et al             19                  7.21                2.63                2.64                
location19180 et al             9                   6.88                1.31                1.31                
location19216 et al             8                   8.20                0.98                0.98                
location19266 et al             1                   5.74                0.17                0.17                
location19301 et al             7                   6.88                1.02                1.02                
location19343 et al             18                  7.21                2.50                2.50                
location19387 et al             5                   8.20                0.61                0.61                
location19437 et al             2                   5.74                0.35                0.35                
location1947 et al              6                   5.74                1.05                1.05                
location19472 et al             3                   5.90                0.51                0.51                
location19508 et al             1                   5.74                0.17                0.17                
location19543 et al             4                   7.38                0.54                0.54                
location19588 et al             5                   6.88                0.73                0.73                
location19630 et al             12                  6.39                1.88                1.88                
location19669 et al             0                   5.74                0                   0                   
location1969 et al              3                   5.74                0.52                0.52                
location19704 et al             8                   6.88                1.16                1.16                
location19740 et al             10                  7.38                1.36                1.36                
location19785 et al             1                   5.25                0.19                0.19                
location19817 et al             3                   4.92                0.61                0.61                
location19847 et al             4                   7.05                0.57                0.57                
location19890 et al             3                   7.21                0.42                0.42                
location19934 et al             20                  6.88                2.91                2.91                
location19970 et al             1                   7.21                0.14                0.14                
location20014 et al             5                   8.36                0.60                0.60                
location2004 et al              7                   8.20                0.85                0.85                
location20065 et al             8                   6.72                1.19                1.19                
location20106 et al             1                   2.13                0.47                0.47                
location20119 et al             6                   7.70                0.78                0.78                
location20166 et al             3                   8.03                0.37                0.37                
location20215 et al             6                   3.77                1.59                1.59                
location20238 et al             9                   6.72                1.34                1.34                
location20279 et al             4                   7.38                0.54                0.54                
location20308 et al             5                   8.36                0.60                0.60                
location20359 et al             10                  6.88                1.45                1.45                
location20397 et al             20                  8.20                2.44                2.44                
location20447 et al             13                  7.38                1.76                1.76                
location20492 et al             7                   7.21                0.97                0.97                
location20536 et al             9                   8.36                1.08                1.08                
location2054 et al              8                   8.52                0.94                0.94                
location20587 et al             2                   8.03                0.25                0.25                
location20636 et al             4                   8.20                0.49                0.49                
location20672 et al             0                   3.77                0                   0                   
location20695 et al             6                   8.36                0.72                0.72                
location20746 et al             0                   1.48                0                   0                   
location20755 et al             0                   2.62                0                   0                   
location20771 et al             16                  7.21                2.22                2.22                
location20815 et al             5                   6.56                0.76                0.76                
location20855 et al             15                  8.36                1.79                1.80                
location20906 et al             10                  5.74                1.74                1.74                
location20941 et al             7                   7.70                0.91                0.91                
location20988 et al             7                   7.38                0.95                0.95                
location21033 et al             0                   2.62                0                   0                   
location21049 et al             7                   8.20                0.85                0.85                
location2106 et al              2                   8.20                0.24                0.24                
location21099 et al             6                   6.72                0.89                0.89                
location21140 et al             3                   7.87                0.38                0.38                
location21188 et al             3                   3.61                0.83                0.83                
location21210 et al             20                  6.88                2.91                2.91                
location21248 et al             9                   2.46                3.66                3.66                
location21263 et al             7                   8.03                0.87                0.87                
location21312 et al             10                  7.21                1.39                1.39                
location21356 et al             6                   6.88                0.87                0.87                
location21398 et al             6                   7.21                0.83                0.83                
location21442 et al             19                  7.05                2.70                2.70                
location21485 et al             13                  7.05                1.84                1.85                
location21528 et al             2                   7.05                0.28                0.28                
location2156 et al              3                   8.52                0.35                0.35                
location21571 et al             11                  8.36                1.32                1.32                
location21622 et al             8                   5.57                1.44                1.44                
location21656 et al             5                   8.03                0.62                0.62                
location21705 et al             13                  7.54                1.72                1.73                
location21751 et al             15                  6.88                2.18                2.18                
location21793 et al             8                   8.03                1.00                1.00                
location21842 et al             0                   1.31                0                   0                   
location21850 et al             4                   8.03                0.50                0.50                
location21899 et al             9                   8.36                1.08                1.08                
location21950 et al             5                   7.87                0.64                0.64                
location21998 et al             13                  14.26               0.91                0.91                
location2208 et al              4                   5.74                0.70                0.70                
location22085 et al             0                   2.29                0                   0                   
location22099 et al             13                  8.03                1.62                1.62                
location221 et al               8                   4.26                1.88                1.88                
location22148 et al             5                   6.88                0.73                0.73                
location22190 et al             4                   5.74                0.70                0.70                
location22225 et al             7                   3.61                1.94                1.94                
location22247 et al             6                   8.03                0.75                0.75                
location22296 et al             4                   6.88                0.58                0.58                
location22338 et al             2                   8.36                0.24                0.24                
location22389 et al             3                   5.90                0.51                0.51                
location22425 et al             6                   6.88                0.87                0.87                
location2243 et al              1                   2.29                0.44                0.44                
location22467 et al             3                   5.90                0.51                0.51                
location22503 et al             3                   5.90                0.51                0.51                
location22539 et al             2                   5.74                0.35                0.35                
location2257 et al              2                   0.82                2.44                2.44                
location22574 et al             14                  7.05                1.99                1.99                
location22617 et al             9                   6.88                1.31                1.31                
location2262 et al              1                   4.10                0.24                0.24                
location22653 et al             13                  7.21                1.80                1.80                
location22697 et al             12                  6.72                1.79                1.79                
location22738 et al             0                   2.95                0                   0                   
location22756 et al             7                   7.05                0.99                0.99                
location22799 et al             3                   6.56                0.46                0.46                
location22839 et al             5                   7.05                0.71                0.71                
location2287 et al              12                  6.23                1.93                1.93                
location22882 et al             1                   8.36                0.12                0.12                
location22933 et al             0                   2.79                0                   0                   
location22950 et al             4                   5.41                0.74                0.74                
location22983 et al             19                  5.74                3.31                3.32                
location23018 et al             2                   5.74                0.35                0.35                
location23053 et al             0                   5.90                0                   0                   
location23089 et al             12                  5.74                2.09                2.09                
location23158 et al             7                   5.41                1.29                1.29                
location23206 et al             9                   5.41                1.66                1.66                
location23239 et al             8                   7.38                1.08                1.08                
location2325 et al              8                   5.74                1.39                1.39                
location23284 et al             8                   5.41                1.48                1.48                
location23317 et al             5                   7.21                0.69                0.69                
location23361 et al             3                   1.48                2.03                2.03                
location23370 et al             1                   4.26                0.23                0.23                
location23396 et al             9                   7.21                1.25                1.25                
location23440 et al             5                   3.93                1.27                1.27                
location23464 et al             4                   7.21                0.55                0.55                
location23508 et al             7                   7.05                0.99                0.99                
location23551 et al             9                   6.72                1.34                1.34                
location23592 et al             1                   8.03                0.12                0.12                
location2360 et al              3                   8.20                0.37                0.37                
location23641 et al             3                   8.20                0.37                0.37                
location23691 et al             2                   8.03                0.25                0.25                
location23740 et al             5                   5.90                0.85                0.85                
location23776 et al             2                   7.21                0.28                0.28                
location23820 et al             6                   7.21                0.83                0.83                
location23864 et al             3                   7.21                0.42                0.42                
location23908 et al             7                   36.06               0.19                0.19                
location2410 et al              13                  4.10                3.17                3.18                
location24128 et al             1                   1.31                0.76                0.76                
location24136 et al             0                   6.88                0                   0                   
location24178 et al             7                   6.88                1.02                1.02                
location24220 et al             8                   6.88                1.16                1.16                
location24262 et al             1                   4.43                0.23                0.23                
location24289 et al             1                   3.44                0.29                0.29                
location24310 et al             19                  7.54                2.52                2.52                
location2435 et al              5                   7.38                0.68                0.68                
location24356 et al             0                   6.72                0                   0                   
location24397 et al             24                  8.36                2.87                2.88                
location24448 et al             14                  7.54                1.86                1.86                
location24494 et al             6                   6.72                0.89                0.89                
location24529 et al             5                   8.36                0.60                0.60                
location24580 et al             2                   3.77                0.53                0.53                
location24603 et al             7                   6.56                1.07                1.07                
location24643 et al             9                   8.36                1.08                1.08                
location24694 et al             7                   6.56                1.07                1.07                
location247 et al               5                   7.38                0.68                0.68                
location24734 et al             4                   8.03                0.50                0.50                
location24783 et al             12                  6.88                1.74                1.74                
location2480 et al              1                   6.39                0.16                0.16                
location24818 et al             4                   8.03                0.50                0.50                
location24867 et al             5                   8.36                0.60                0.60                
location24918 et al             5                   7.54                0.66                0.66                
location24964 et al             4                   8.03                0.50                0.50                
location25013 et al             6                   6.88                0.87                0.87                
location25048 et al             11                  8.03                1.37                1.37                
location25097 et al             2                   8.36                0.24                0.24                
location25148 et al             5                   8.20                0.61                0.61                
location2519 et al              2                   6.56                0.31                0.30                
location25198 et al             9                   6.06                1.48                1.48                
location25235 et al             11                  8.20                1.34                1.34                
location25285 et al             7                   6.72                1.04                1.04                
location25326 et al             0                   3.44                0                   0                   
location25347 et al             3                   6.88                0.44                0.44                
location25382 et al             7                   7.87                0.89                0.89                
location25430 et al             14                  8.36                1.67                1.68                
location25481 et al             8                   7.05                1.14                1.14                
location25524 et al             5                   6.39                0.78                0.78                
location25563 et al             0                   8.03                0                   0                   
location2559 et al              1                   2.46                0.41                0.41                
location25612 et al             9                   8.36                1.08                1.08                
location25663 et al             3                   8.03                0.37                0.37                
location25712 et al             2                   6.56                0.31                0.30                
location2574 et al              12                  6.56                1.83                1.83                
location25752 et al             0                   5.74                0                   0                   
location25787 et al             14                  8.20                1.71                1.71                
location25837 et al             9                   5.25                1.72                1.72                
location25869 et al             9                   7.54                1.19                1.19                
location25915 et al             10                  5.25                1.91                1.91                
location25947 et al             15                  8.20                1.83                1.83                
location25997 et al             8                   8.20                0.98                0.98                
location26047 et al             7                   6.39                1.10                1.10                
location26080 et al             13                  8.36                1.56                1.56                
location26131 et al             8                   7.21                1.11                1.11                
location2614 et al              11                  7.21                1.53                1.53                
location26175 et al             6                   6.72                0.89                0.89                
location26216 et al             3                   8.36                0.36                0.36                
location26267 et al             6                   6.88                0.87                0.87                
location26309 et al             1                   5.41                0.18                0.18                
location26342 et al             7                   6.56                1.07                1.07                
location26382 et al             3                   7.38                0.41                0.41                
location26427 et al             3                   7.21                0.42                0.42                
location26471 et al             15                  8.03                1.87                1.87                
location26520 et al             12                  8.20                1.46                1.47                
location26570 et al             2                   0.82                2.44                2.44                
location26575 et al             7                   6.88                1.02                1.02                
location2658 et al              11                  7.05                1.56                1.56                
location26617 et al             12                  6.72                1.79                1.79                
location26658 et al             11                  7.54                1.46                1.46                
location26704 et al             7                   5.41                1.29                1.29                
location26737 et al             12                  7.21                1.66                1.67                
location26781 et al             7                   7.05                0.99                0.99                
location26824 et al             15                  7.05                2.13                2.13                
location26867 et al             10                  6.56                1.53                1.53                
location26907 et al             6                   7.21                0.83                0.83                
location26951 et al             13                  5.90                2.20                2.21                
location26987 et al             0                   2.95                0                   0                   
location27005 et al             4                   6.56                0.61                0.61                
location2701 et al              2                   4.75                0.42                0.42                
location27045 et al             4                   5.90                0.68                0.68                
location27081 et al             2                   5.41                0.37                0.37                
location27114 et al             15                  14.42               1.04                1.04                
location27202 et al             1                   8.36                0.12                0.12                
location27253 et al             3                   4.26                0.70                0.70                
location27279 et al             9                   6.56                1.37                1.37                
location2730 et al              7                   6.23                1.12                1.12                
location27319 et al             2                   7.05                0.28                0.28                
location27357 et al             5                   7.21                0.69                0.69                
location27401 et al             3                   7.05                0.43                0.43                
location27444 et al             0                   7.21                0                   0                   
location27488 et al             7                   7.05                0.99                0.99                
location27531 et al             0                   6.88                0                   0                   
location27573 et al             13                  7.38                1.76                1.76                
location27618 et al             2                   4.43                0.45                0.45                
location27645 et al             9                   7.05                1.28                1.28                
location2768 et al              3                   6.56                0.46                0.46                
location27688 et al             2                   3.61                0.55                0.55                
location27710 et al             11                  7.05                1.56                1.56                
location27753 et al             1                   3.61                0.28                0.28                
location27775 et al             0                   2.79                0                   0                   
location27792 et al             19                  6.88                2.76                2.76                
location27834 et al             1                   6.72                0.15                0.15                
location27875 et al             10                  7.05                1.42                1.42                
location27918 et al             5                   8.03                0.62                0.62                
location27967 et al             14                  8.03                1.74                1.74                
location28016 et al             4                   8.03                0.50                0.50                
location28065 et al             4                   2.13                1.88                1.88                
location28078 et al             3                   3.61                0.83                0.83                
location2808 et al              3                   5.41                0.55                0.55                
location28100 et al             3                   8.52                0.35                0.35                
location28152 et al             7                   7.70                0.91                0.91                
location28199 et al             13                  8.36                1.56                1.56                
location28250 et al             11                  7.21                1.53                1.53                
location28294 et al             8                   8.36                0.96                0.96                
location28345 et al             4                   7.05                0.57                0.57                
location28388 et al             3                   6.72                0.45                0.45                
location2841 et al              2                   3.28                0.61                0.61                
location28429 et al             5                   6.72                0.74                0.74                
location28470 et al             6                   6.88                0.87                0.87                
location28512 et al             0                   6.72                0                   0                   
location28553 et al             1                   6.72                0.15                0.15                
location28594 et al             2                   4.75                0.42                0.42                
location2861 et al              0                   1.31                0                   0                   
location28623 et al             7                   6.72                1.04                1.04                
location28664 et al             2                   5.41                0.37                0.37                
location2869 et al              0                   2.46                0                   0                   
location28697 et al             7                   6.88                1.02                1.02                
location28739 et al             0                   7.05                0                   0                   
location28782 et al             7                   6.88                1.02                1.02                
location28824 et al             3                   6.56                0.46                0.46                
location2884 et al              6                   7.21                0.83                0.83                
location28864 et al             2                   6.72                0.30                0.30                
location28905 et al             3                   6.56                0.46                0.46                
location28945 et al             6                   6.56                0.92                0.92                
location28985 et al             1                   7.05                0.14                0.14                
location29028 et al             11                  6.56                1.68                1.68                
location29068 et al             3                   1.97                1.53                1.53                
location29080 et al             7                   6.39                1.10                1.10                
location29119 et al             4                   8.03                0.50                0.50                
location29168 et al             2                   4.59                0.44                0.44                
location29196 et al             9                   7.87                1.14                1.14                
location292 et al               19                  7.38                2.58                2.58                
location29244 et al             6                   7.87                0.76                0.76                
location2928 et al              1                   7.05                0.14                0.14                
location29292 et al             2                   5.41                0.37                0.37                
location29325 et al             8                   5.41                1.48                1.48                
location29358 et al             3                   5.41                0.55                0.55                
location29391 et al             14                  7.87                1.78                1.78                
location29439 et al             10                  6.06                1.65                1.65                
location29476 et al             0                   5.08                0                   0                   
location29507 et al             2                   3.61                0.55                0.55                
location29529 et al             6                   7.21                0.83                0.83                
location29573 et al             5                   7.21                0.69                0.69                
location29617 et al             4                   5.41                0.74                0.74                
location29650 et al             0                   5.41                0                   0                   
location29683 et al             6                   7.38                0.81                0.81                
location2971 et al              14                  7.05                1.99                1.99                
location29728 et al             0                   2.46                0                   0                   
location29743                   0                   0.16                0                   0                   
location29744 et al             2                   6.88                0.29                0.29                
location29779 et al             7                   4.59                1.53                1.53                
location29807 et al             5                   6.88                0.73                0.73                
location29808 et al             3                   5.41                0.55                0.55                
location29841 et al             5                   6.88                0.73                0.73                
location29883 et al             6                   5.25                1.14                1.14                
location29915 et al             10                  6.88                1.45                1.45                
location29950 et al             0                   2.79                0                   0                   
location29967 et al             12                  6.56                1.83                1.83                
location300 et al               6                   7.21                0.83                0.83                
location30000 et al             1                   5.08                0.20                0.20                
location30031 et al             6                   5.25                1.14                1.14                
location30063 et al             2                   5.41                0.37                0.37                
location30096 et al             5                   5.25                0.95                0.95                
location30128 et al             1                   2.62                0.38                0.38                
location3014 et al              0                   2.29                0                   0                   
location30144 et al             0                   4.59                0                   0                   
location30172 et al             5                   6.88                0.73                0.73                
location30211 et al             1                   2.62                0.38                0.38                
location30227 et al             2                   6.56                0.31                0.30                
location30267 et al             0                   5.25                0                   0                   
location3028 et al              9                   5.74                1.57                1.57                
location30299 et al             6                   6.88                0.87                0.87                
location30341 et al             10                  6.88                1.45                1.45                
location30383 et al             8                   8.52                0.94                0.94                
location30435 et al             0                   7.70                0                   0                   
location30482 et al             3                   4.10                0.73                0.73                
location30507 et al             0                   8.20                0                   0                   
location30557 et al             3                   6.88                0.44                0.44                
location30599 et al             0                   4.75                0                   0                   
location30628 et al             5                   4.75                1.05                1.05                
location3063 et al              7                   8.36                0.84                0.84                
location30657 et al             11                  7.54                1.46                1.46                
location30703 et al             1                   4.43                0.23                0.23                
location30730 et al             15                  6.88                2.18                2.18                
location30772 et al             17                  6.88                2.47                2.47                
location30814 et al             14                  6.72                2.08                2.09                
location30855 et al             9                   6.88                1.31                1.31                
location30897 et al             1                   6.72                0.15                0.15                
location309 et al               11                  7.21                1.53                1.53                
location30938 et al             8                   6.23                1.28                1.28                
location30976 et al             14                  7.21                1.94                1.94                
location31020 et al             6                   8.20                0.73                0.73                
location31070 et al             10                  7.54                1.33                1.33                
location31116 et al             5                   6.39                0.78                0.78                
location3112 et al              5                   3.61                1.39                1.39                
location31155 et al             8                   6.72                1.19                1.19                
location31196 et al             3                   6.72                0.45                0.45                
location31237 et al             0                   6.06                0                   0                   
location31274 et al             5                   6.23                0.80                0.80                
location31312 et al             1                   6.72                0.15                0.15                
location31353 et al             7                   7.38                0.95                0.95                
location31398 et al             4                   6.72                0.60                0.59                
location3143 et al              6                   5.08                1.18                1.18                
location31439 et al             12                  7.05                1.70                1.70                
location31482 et al             4                   4.43                0.90                0.90                
location31509 et al             8                   7.54                1.06                1.06                
location31599 et al             14                  6.88                2.03                2.04                
