LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location10 et al                1                   2.29                0.44                0.44                
location100 et al               8                   8.36                0.96                0.96                
location1000 et al              3                   8.20                0.37                0.37                
location10000 et al             10                  7.21                1.39                1.39                
location10006 et al             17                  6.06                2.80                2.81                
location10043 et al             9                   7.21                1.25                1.25                
location10087 et al             16                  7.54                2.12                2.12                
location10133 et al             17                  6.06                2.80                2.81                
location10170 et al             14                  7.54                1.86                1.86                
location10216 et al             14                  7.54                1.86                1.86                
location10262 et al             11                  6.72                1.64                1.64                
location10303 et al             2                   5.74                0.35                0.35                
location10338 et al             7                   7.54                0.93                0.93                
location1036 et al              21                  8.36                2.51                2.52                
location10384 et al             8                   7.54                1.06                1.06                
location10430 et al             22                  7.54                2.92                2.92                
location10476 et al             6                   6.88                0.87                0.87                
location10518 et al             9                   7.54                1.19                1.19                
location10564 et al             4                   5.74                0.70                0.70                
location10599 et al             3                   5.74                0.52                0.52                
location10634 et al             6                   6.88                0.87                0.87                
location10676 et al             9                   6.56                1.37                1.37                
location10716 et al             1                   6.88                0.15                0.15                
location10758 et al             15                  7.54                1.99                1.99                
location10804 et al             0                   4.26                0                   0                   
location10830 et al             14                  6.88                2.03                2.04                
location1087 et al              6                   8.36                0.72                0.72                
location10872 et al             9                   8.52                1.06                1.06                
location10924 et al             5                   7.54                0.66                0.66                
location10970 et al             8                   3.93                2.03                2.03                
location10990 et al             6                   5.74                1.05                1.05                
location11025 et al             4                   6.39                0.63                0.63                
location11064 et al             2                   6.88                0.29                0.29                
location11106 et al             9                   7.70                1.17                1.17                
location11153 et al             9                   6.72                1.34                1.34                
location11194 et al             5                   6.72                0.74                0.74                
location11235 et al             7                   8.36                0.84                0.84                
location11286 et al             10                  7.87                1.27                1.27                
location11334 et al             1                   6.72                0.15                0.15                
location11375 et al             13                  8.36                1.56                1.56                
location1138 et al              9                   8.36                1.08                1.08                
location114 et al               9                   5.90                1.53                1.53                
location11426 et al             26                  7.54                3.45                3.46                
location11463 et al             5                   6.72                0.74                0.74                
location115 et al               0                   2.62                0                   0                   
location11504 et al             3                   6.88                0.44                0.44                
location11546 et al             6                   5.74                1.05                1.05                
