LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location10 et al                16                  5.91                2.71                2.71                
location100 et al               6                   6.03                1.00                1.00                
location1000 et al              3                   5.91                0.51                0.51                
location10000 et al             4                   6.15                0.65                0.65                
location10046 et al             7                   3.36                2.08                2.08                
location10075 et al             2                   1.74                1.15                1.15                
location10090 et al             3                   1.51                1.99                1.99                
location10103 et al             9                   5.45                1.65                1.65                
location10150 et al             3                   6.15                0.49                0.49                
location1019 et al              8                   5.80                1.38                1.38                
location10203 et al             11                  5.91                1.86                1.86                
location10254 et al             12                  6.15                1.95                1.95                
location10307 et al             2                   2.32                0.86                0.86                
location10327 et al             2                   5.91                0.34                0.34                
location10378 et al             5                   1.86                2.70                2.70                
location10394 et al             8                   1.97                4.06                4.06                
location10411 et al             3                   6.03                0.50                0.50                
location10463 et al             0                   5.33                0                   0                   
location105 et al               11                  6.15                1.79                1.79                
location10509 et al             15                  6.15                2.44                2.44                
location10562 et al             6                   3.13                1.92                1.92                
location10589 et al             1                   1.28                0.78                0.78                
location10600 et al             1                   5.91                0.17                0.17                
location10651 et al             2                   5.45                0.37                0.37                
location1069 et al              5                   5.57                0.90                0.90                
location10698 et al             0                   5.91                0                   0                   
location10749 et al             4                   1.51                2.65                2.65                
location10762 et al             3                   5.33                0.56                0.56                
location10808 et al             3                   3.13                0.96                0.96                
location10835 et al             3                   1.51                1.99                1.99                
location10848 et al             8                   1.28                6.27                6.28                
location10859 et al             0                   3.13                0                   0                   
location10886 et al             2                   1.51                1.33                1.33                
location10899 et al             1                   1.86                0.54                0.54                
location10915 et al             2                   5.33                0.37                0.37                
location10961 et al             0                   1.86                0                   0                   
location10977 et al             2                   5.33                0.37                0.37                
location11023 et al             7                   1.51                4.64                4.65                
location11036 et al             4                   1.62                2.46                2.47                
location11050 et al             0                   1.74                0                   0                   
location11065 et al             5                   1.51                3.32                3.32                
location11078 et al             1                   1.74                0.57                0.57                
location11093 et al             5                   3.13                1.60                1.60                
location11120 et al             7                   1.51                4.64                4.65                
location11133 et al             1                   1.74                0.57                0.57                
location11148 et al             2                   3.48                0.57                0.57                
location1117 et al              16                  6.03                2.65                2.66                
location11178 et al             0                   1.51                0                   0                   
location11191 et al             4                   1.51                2.65                2.65                
location11204 et al             5                   1.39                3.59                3.60                
location11216 et al             4                   5.33                0.75                0.75                
location11262 et al             2                   1.74                1.15                1.15                
location11277 et al             4                   1.74                2.30                2.30                
location11292 et al             5                   1.39                3.59                3.60                
location11304 et al             0                   0.58                0                   0                   
location11309 et al             5                   1.62                3.08                3.08                
location11323 et al             1                   1.74                0.57                0.57                
location11338 et al             2                   1.51                1.33                1.33                
location11351 et al             0                   1.86                0                   0                   
location11367 et al             2                   1.74                1.15                1.15                
location11382 et al             6                   6.03                1.00                1.00                
location11434 et al             4                   1.39                2.87                2.88                
location11446 et al             6                   1.62                3.70                3.70                
location11460 et al             5                   6.03                0.83                0.83                
location11512 et al             5                   5.68                0.88                0.88                
location11561 et al             3                   1.16                2.59                2.59                
location11571 et al             5                   6.03                0.83                0.83                
location11623 et al             13                  6.03                2.16                2.16                
location11675 et al             3                   2.78                1.08                1.08                
location1169 et al              6                   3.13                1.92                1.92                
location11699 et al             5                   6.03                0.83                0.83                
location11751 et al             0                   1.16                0                   0                   
location11761 et al             0                   6.03                0                   0                   
location11813 et al             6                   6.03                1.00                1.00                
location11865 et al             3                   5.80                0.52                0.52                
location11915 et al             9                   5.80                1.55                1.55                
location1196 et al              2                   1.74                1.15                1.15                
location11965 et al             6                   5.80                1.03                1.03                
location12015 et al             6                   3.71                1.62                1.62                
location12047 et al             8                   4.52                1.77                1.77                
location12086 et al             11                  5.68                1.94                1.94                
location1211 et al              3                   6.03                0.50                0.50                
location12135 et al             1                   1.39                0.72                0.72                
location12147 et al             13                  6.03                2.16                2.16                
location12199 et al             3                   3.36                0.89                0.89                
location12228 et al             13                  6.03                2.16                2.16                
location12280 et al             0                   5.33                0                   0                   
location12326 et al             4                   5.80                0.69                0.69                
location12376 et al             4                   1.62                2.46                2.47                
location12390 et al             2                   1.86                1.08                1.08                
location12406 et al             5                   5.80                0.86                0.86                
location12456 et al             12                  6.03                1.99                1.99                
location12508 et al             1                   6.15                0.16                0.16                
location12561 et al             6                   2.32                2.59                2.59                
location12581 et al             2                   1.51                1.33                1.33                
location12594 et al             5                   5.57                0.90                0.90                
location1263 et al              8                   6.03                1.33                1.33                
location12642 et al             0                   5.80                0                   0                   
location12692 et al             12                  6.03                1.99                1.99                
location12744 et al             7                   6.15                1.14                1.14                
location12797 et al             10                  6.03                1.66                1.66                
location12849 et al             5                   6.15                0.81                0.81                
location12902 et al             1                   2.32                0.43                0.43                
location12922 et al             17                  6.03                2.82                2.82                
location12974 et al             12                  6.15                1.95                1.95                
location13027 et al             9                   6.15                1.46                1.47                
location13080 et al             10                  6.15                1.63                1.63                
location13133 et al             0                   0.46                0                   0                   
location13137 et al             0                   6.15                0                   0                   
location1315 et al              2                   5.22                0.38                0.38                
location13190 et al             0                   1.51                0                   0                   
location13203 et al             1                   3.01                0.33                0.33                
location13229 et al             8                   1.97                4.06                4.06                
location13246 et al             2                   2.20                0.91                0.91                
location13265 et al             11                  5.57                1.98                1.98                
location13313 et al             23                  5.57                4.13                4.14                
location13361 et al             5                   1.28                3.92                3.92                
location13372 et al             17                  5.45                3.12                3.13                
location13419 et al             7                   5.45                1.28                1.28                
location13466 et al             5                   1.28                3.92                3.92                
location13477 et al             9                   6.15                1.46                1.47                
location13530 et al             3                   5.68                0.53                0.53                
location13579 et al             1                   0.58                1.72                1.73                
location13580 et al             1                   1.97                0.51                0.51                
location13597 et al             2                   5.68                0.35                0.35                
location1360 et al              6                   1.86                3.23                3.24                
location13646 et al             6                   1.86                3.23                3.24                
location13662 et al             5                   2.43                2.05                2.05                
location13683 et al             4                   2.67                1.50                1.50                
location13706 et al             12                  5.68                2.11                2.11                
location13755 et al             1                   1.74                0.57                0.57                
location1376 et al              5                   5.91                0.85                0.85                
location13770 et al             8                   5.80                1.38                1.38                
location13820 et al             3                   6.15                0.49                0.49                
location13873 et al             1                   1.62                0.62                0.62                
location13887 et al             10                  5.68                1.76                1.76                
location13936 et al             4                   5.68                0.70                0.70                
location13985 et al             5                   1.51                3.32                3.32                
location13998 et al             3                   5.80                0.52                0.52                
location14048 et al             5                   5.22                0.96                0.96                
location14093 et al             2                   5.80                0.34                0.34                
location14143 et al             14                  5.80                2.41                2.42                
location14193 et al             3                   1.39                2.16                2.16                
location14205 et al             3                   2.78                1.08                1.08                
location14229 et al             8                   5.80                1.38                1.38                
location1427 et al              2                   5.91                0.34                0.34                
location14279 et al             10                  6.03                1.66                1.66                
location14331 et al             5                   1.28                3.92                3.92                
location14342 et al             5                   6.03                0.83                0.83                
location14394 et al             11                  1.51                7.30                7.31                
location14407 et al             7                   3.48                2.01                2.01                
location14437 et al             7                   5.33                1.31                1.31                
location14483 et al             3                   5.80                0.52                0.52                
location14533 et al             5                   6.15                0.81                0.81                
location14586 et al             17                  5.80                2.93                2.94                
location14636 et al             5                   1.51                3.32                3.32                
location14649 et al             5                   5.57                0.90                0.90                
location14697 et al             7                   6.03                1.16                1.16                
location14749 et al             7                   2.43                2.87                2.88                
location14770 et al             3                   0.93                3.23                3.24                
location14778 et al             2                   5.33                0.37                0.37                
location1478 et al              5                   2.43                2.05                2.05                
location14824 et al             2                   5.57                0.36                0.36                
location14872 et al             5                   5.33                0.94                0.94                
location14918 et al             7                   6.03                1.16                1.16                
location14970 et al             14                  5.68                2.46                2.47                
location1499 et al              4                   1.51                2.65                2.65                
location15019 et al             1                   5.57                0.18                0.18                
location15067 et al             6                   1.51                3.98                3.98                
location15080 et al             6                   5.80                1.03                1.03                
location1512 et al              2                   0.46                4.31                4.31                
