LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location15130 et al             4                   1.16                3.45                3.45                
location15140 et al             15                  2.55                5.88                5.89                
location1516 et al              2                   6.03                0.33                0.33                
location15162 et al             3                   4.64                0.65                0.65                
location15202 et al             0                   0.81                0                   0                   
location15209 et al             9                   6.15                1.46                1.47                
location15262 et al             1                   5.80                0.17                0.17                
location15312 et al             5                   1.97                2.54                2.54                
location15329 et al             2                   1.51                1.33                1.33                
location15342 et al             3                   1.51                1.99                1.99                
location15355 et al             1                   1.51                0.66                0.66                
location15368 et al             0                   5.57                0                   0                   
location15416 et al             10                  6.03                1.66                1.66                
location15468 et al             4                   5.80                0.69                0.69                
location15518 et al             0                   6.15                0                   0                   
location15571 et al             7                   6.15                1.14                1.14                
location15624 et al             5                   5.80                0.86                0.86                
location15674 et al             6                   6.03                1.00                1.00                
location1568 et al              2                   5.91                0.34                0.34                
location15726 et al             6                   5.57                1.08                1.08                
location15774 et al             3                   5.80                0.52                0.52                
location158 et al               2                   1.28                1.57                1.57                
location15824 et al             3                   1.51                1.99                1.99                
location15837 et al             3                   1.62                1.85                1.85                
location15851 et al             1                   0.70                1.44                1.44                
location15857 et al             3                   2.32                1.29                1.29                
location15877 et al             4                   5.80                0.69                0.69                
location15927 et al             1                   5.57                0.18                0.18                
location15975 et al             3                   1.39                2.16                2.16                
location15987 et al             1                   1.39                0.72                0.72                
location15999 et al             8                   1.28                6.27                6.28                
location16010 et al             0                   6.15                0                   0                   
location16063 et al             6                   6.03                1.00                1.00                
location16115 et al             0                   5.91                0                   0                   
location16166 et al             3                   2.09                1.44                1.44                
location16184 et al             2                   5.80                0.34                0.34                
location1619 et al              6                   6.03                1.00                1.00                
location16234 et al             10                  5.80                1.72                1.73                
location16284 et al             5                   5.91                0.85                0.85                
location16335 et al             1                   1.51                0.66                0.66                
location16348 et al             5                   6.15                0.81                0.81                
location16401 et al             3                   1.51                1.99                1.99                
location16414 et al             1                   0.81                1.23                1.23                
location16421 et al             4                   5.57                0.72                0.72                
location16469 et al             1                   1.28                0.78                0.78                
location16480 et al             3                   1.39                2.16                2.16                
location16492 et al             2                   5.57                0.36                0.36                
location16540 et al             2                   1.51                1.33                1.33                
location16553 et al             20                  5.80                3.45                3.46                
location16603 et al             3                   6.15                0.49                0.49                
location16656 et al             2                   5.80                0.34                0.34                
location16706 et al             4                   6.15                0.65                0.65                
location1671 et al              1                   4.64                0.22                0.22                
location16759 et al             2                   5.33                0.37                0.37                
location16783 et al             4                   5.91                0.68                0.68                
location16834 et al             4                   6.15                0.65                0.65                
location16887 et al             5                   1.51                3.32                3.32                
location169 et al               3                   6.15                0.49                0.49                
location16900 et al             4                   5.57                0.72                0.72                
location16948 et al             7                   6.15                1.14                1.14                
location17001 et al             5                   6.15                0.81                0.81                
location17054 et al             2                   3.94                0.51                0.51                
location17088 et al             3                   1.51                1.99                1.99                
location17101 et al             1                   1.86                0.54                0.54                
location1711 et al              3                   6.03                0.50                0.50                
location17117 et al             4                   6.15                0.65                0.65                
location17170 et al             0                   5.80                0                   0                   
location17220 et al             2                   6.15                0.33                0.33                
location17273 et al             1                   1.74                0.57                0.57                
location17288 et al             1                   6.03                0.17                0.17                
location17340 et al             14                  12.06               1.16                1.16                
location17392 et al             1                   1.97                0.51                0.51                
location17409 et al             2                   1.28                1.57                1.57                
location17420 et al             11                  6.03                1.82                1.83                
location17472 et al             3                   3.36                0.89                0.89                
location17501 et al             0                   6.15                0                   0                   
location17554 et al             2                   5.68                0.35                0.35                
location17603 et al             2                   5.91                0.34                0.34                
location1763 et al              6                   1.51                3.98                3.98                
location17654 et al             5                   5.57                0.90                0.90                
location17702 et al             1                   1.51                0.66                0.66                
location17715 et al             3                   1.97                1.52                1.52                
location17732 et al             11                  6.15                1.79                1.79                
location1776 et al              2                   1.51                1.33                1.33                
location17785 et al             13                  6.15                2.12                2.12                
location17838 et al             8                   5.80                1.38                1.38                
location17888 et al             4                   1.51                2.65                2.65                
location1789 et al              0                   1.62                0                   0                   
location17901 et al             1                   5.33                0.19                0.19                
location17947 et al             8                   5.91                1.35                1.35                
location17998 et al             1                   5.80                0.17                0.17                
location1803 et al              3                   5.91                0.51                0.51                
location18048 et al             0                   6.03                0                   0                   
location18100 et al             14                  5.57                2.52                2.52                
location18148 et al             0                   0.46                0                   0                   
location18152 et al             2                   2.78                0.72                0.72                
location18176 et al             4                   5.91                0.68                0.68                
location18227 et al             5                   5.80                0.86                0.86                
location18277 et al             0                   5.57                0                   0                   
location18325 et al             10                  5.57                1.80                1.80                
location18373 et al             8                   6.03                1.33                1.33                
location18425 et al             5                   6.15                0.81                0.81                
location18478 et al             8                   5.91                1.35                1.35                
location18529 et al             3                   1.16                2.59                2.59                
location18539 et al             3                   5.80                0.52                0.52                
location1854 et al              6                   5.45                1.10                1.10                
location18589 et al             0                   5.57                0                   0                   
location18637 et al             7                   5.68                1.23                1.23                
location18686 et al             0                   5.57                0                   0                   
location18734 et al             0                   5.91                0                   0                   
location18785 et al             2                   1.74                1.15                1.15                
location18800 et al             10                  6.03                1.66                1.66                
location18852 et al             10                  6.15                1.63                1.63                
location18905 et al             0                   5.91                0                   0                   
location18956 et al             8                   6.03                1.33                1.33                
location19008 et al             3                   5.80                0.52                0.52                
location1901 et al              4                   5.91                0.68                0.68                
location19058 et al             4                   1.28                3.14                3.14                
location19069 et al             3                   6.03                0.50                0.50                
location19121 et al             8                   5.57                1.44                1.44                
location19169 et al             0                   5.91                0                   0                   
location19220 et al             7                   5.57                1.26                1.26                
location19268 et al             3                   1.74                1.72                1.73                
location19283 et al             3                   1.39                2.16                2.16                
location19295 et al             5                   6.15                0.81                0.81                
location19348 et al             7                   5.45                1.28                1.28                
location19395 et al             2                   6.03                0.33                0.33                
location19447 et al             7                   1.74                4.02                4.03                
location19462 et al             1                   0.23                4.31                4.31                
location19464 et al             15                  5.57                2.70                2.70                
location19512 et al             4                   2.32                1.72                1.73                
location1952 et al              2                   5.91                0.34                0.34                
location19532 et al             0                   1.62                0                   0                   
location19546 et al             6                   1.74                3.45                3.45                
location19561 et al             9                   5.80                1.55                1.55                
location19611 et al             13                  5.68                2.29                2.29                
location19660 et al             2                   5.57                0.36                0.36                
location19708 et al             5                   6.03                0.83                0.83                
location19760 et al             7                   1.51                4.64                4.65                
location19773 et al             4                   5.68                0.70                0.70                
location19822 et al             2                   0.93                2.16                2.16                
location19830 et al             10                  6.03                1.66                1.66                
location19882 et al             3                   5.91                0.51                0.51                
location19933 et al             11                  5.80                1.90                1.90                
location19983 et al             7                   5.68                1.23                1.23                
location2003 et al              0                   0.46                0                   0                   
location20032 et al             2                   6.03                0.33                0.33                
location2007 et al              11                  5.91                1.86                1.86                
location20084 et al             5                   5.91                0.85                0.85                
location20135 et al             6                   5.57                1.08                1.08                
location20183 et al             1                   1.51                0.66                0.66                
location20196 et al             3                   6.03                0.50                0.50                
location20248 et al             1                   1.86                0.54                0.54                
location20264 et al             2                   5.91                0.34                0.34                
location20315 et al             5                   5.57                0.90                0.90                
location20363 et al             3                   5.33                0.56                0.56                
location20409 et al             15                  6.03                2.49                2.49                
location20461 et al             2                   6.03                0.33                0.33                
location20513 et al             8                   5.91                1.35                1.35                
location20564 et al             9                   6.03                1.49                1.49                
location2058 et al              8                   1.86                4.31                4.32                
location20616 et al             4                   5.80                0.69                0.69                
location20666 et al             7                   6.03                1.16                1.16                
location20718 et al             5                   5.91                0.85                0.85                
location2074 et al              3                   1.86                1.62                1.62                
location20769 et al             3                   2.90                1.03                1.03                
location20794 et al             1                   3.25                0.31                0.31                
location20822 et al             2                   6.03                0.33                0.33                
location20874 et al             13                  6.03                2.16                2.16                
location2090 et al              5                   4.17                1.20                1.20                
location20926 et al             1                   6.03                0.17                0.17                
location20978 et al             0                   0.70                0                   0                   
location20984 et al             8                   6.03                1.33                1.33                
location21036 et al             3                   5.80                0.52                0.52                
location21086 et al             13                  6.03                2.16                2.16                
location21138 et al             1                   1.62                0.62                0.62                
location21152 et al             13                  5.57                2.34                2.34                
location21200 et al             3                   4.99                0.60                0.60                
location21243 et al             1                   5.57                0.18                0.18                
location2126 et al              6                   4.99                1.20                1.20                
location21291 et al             8                   3.36                2.38                2.38                
location21320                   0                   0.12                0                   0                   
location21321 et al             3                   1.62                1.85                1.85                
location21335 et al             1                   5.91                0.17                0.17                
location21386 et al             6                   5.45                1.10                1.10                
location21433 et al             1                   11.83               0.085               0.084               
location21484 et al             2                   4.29                0.47                0.47                
location21521 et al             8                   5.33                1.50                1.50                
location21567 et al             8                   5.33                1.50                1.50                
location21613 et al             6                   5.10                1.18                1.18                
location21657 et al             0                   5.91                0                   0                   
location2169 et al              4                   5.91                0.68                0.68                
location21708 et al             0                   0.35                0                   0                   
location21711 et al             2                   5.45                0.37                0.37                
location21809 et al             1                   5.45                0.18                0.18                
location21856 et al             6                   5.45                1.10                1.10                
location21903 et al             4                   5.33                0.75                0.75                
location21949 et al             1                   1.62                0.62                0.62                
location21963 et al             0                   1.04                0                   0                   
location21972 et al             2                   3.48                0.57                0.57                
location22002 et al             1                   0.93                1.08                1.08                
location22010 et al             2                   5.45                0.37                0.37                
location22057 et al             1                   0.93                1.08                1.08                
location22065 et al             9                   3.36                2.68                2.68                
location22094 et al             4                   5.33                0.75                0.75                
location22095 et al             1                   0.93                1.08                1.08                
location22103 et al             8                   5.22                1.53                1.53                
location22148 et al             0                   3.13                0                   0                   
location22175 et al             0                   1.51                0                   0                   
location22188 et al             5                   5.33                0.94                0.94                
location222 et al               10                  5.57                1.80                1.80                
location2220 et al              0                   1.51                0                   0                   
location22234 et al             0                   1.97                0                   0                   
location22251 et al             3                   5.22                0.57                0.57                
location22296 et al             8                   5.57                1.44                1.44                
location2233 et al              10                  5.91                1.69                1.69                
location22344 et al             17                  5.33                3.19                3.19                
location22390 et al             6                   5.91                1.01                1.01                
location22441 et al             4                   1.51                2.65                2.65                
location22454 et al             6                   2.55                2.35                2.35                
location22476 et al             8                   5.91                1.35                1.35                
location22527 et al             2                   0.93                2.16                2.16                
location22535 et al             1                   5.57                0.18                0.18                
location22583 et al             1                   5.33                0.19                0.19                
location22629 et al             3                   4.87                0.62                0.62                
location22671 et al             0                   1.51                0                   0                   
location22684 et al             2                   0.93                2.16                2.16                
location22692 et al             1                   1.97                0.51                0.51                
location22709 et al             4                   5.33                0.75                0.75                
location22755 et al             4                   2.32                1.72                1.73                
location22775 et al             9                   5.91                1.52                1.52                
location22826 et al             4                   1.28                3.14                3.14                
location22837 et al             7                   5.57                1.26                1.26                
location2284 et al              9                   5.68                1.58                1.58                
location22885 et al             0                   5.45                0                   0                   
location22932 et al             2                   5.33                0.37                0.37                
location22978 et al             9                   5.57                1.62                1.62                
location23026 et al             4                   1.97                2.03                2.03                
location23043 et al             1                   5.33                0.19                0.19                
location23089 et al             2                   1.51                1.33                1.33                
location23102 et al             7                   5.10                1.37                1.37                
location23146 et al             13                  5.57                2.34                2.34                
location23194 et al             2                   1.51                1.33                1.33                
location23207 et al             7                   4.99                1.40                1.40                
location23250 et al             2                   0.93                2.16                2.16                
location23258 et al             1                   0.35                2.87                2.88                
location23261 et al             7                   5.33                1.31                1.31                
location23307 et al             2                   0.93                2.16                2.16                
location23315 et al             4                   2.09                1.92                1.92                
location2333 et al              2                   5.68                0.35                0.35                
location23333 et al             4                   5.22                0.77                0.77                
location23378 et al             2                   1.74                1.15                1.15                
location23393 et al             0                   2.09                0                   0                   
location23411 et al             1                   0.93                1.08                1.08                
location23419 et al             0                   0.93                0                   0                   
location23427 et al             3                   1.74                1.72                1.73                
location23442 et al             2                   0.93                2.16                2.16                
location23450 et al             3                   2.09                1.44                1.44                
location23468 et al             3                   0.93                3.23                3.24                
location23475 et al             2                   0.93                2.16                2.16                
location23483 et al             2                   0.93                2.16                2.16                
location23491 et al             11                  6.15                1.79                1.79                
location23544 et al             4                   6.15                0.65                0.65                
location23597 et al             2                   1.74                1.15                1.15                
location23605 et al             9                   5.68                1.58                1.58                
location23654 et al             6                   6.15                0.98                0.98                
location23707 et al             11                  5.80                1.90                1.90                
location23757 et al             4                   5.22                0.77                0.77                
location23802 et al             1                   1.51                0.66                0.66                
location23815 et al             0                   0.70                0                   0                   
location2382 et al              0                   0.35                0                   0                   
location23821 et al             4                   6.03                0.66                0.66                
location23844 et al             3                   1.39                2.16                2.16                
location2385 et al              3                   1.86                1.62                1.62                
location23856 et al             2                   5.80                0.34                0.34                
location23906 et al             5                   1.51                3.32                3.32                
location23919 et al             4                   5.80                0.69                0.69                
location23969 et al             1                   1.86                0.54                0.54                
location23985 et al             1                   6.15                0.16                0.16                
location2401 et al              5                   5.91                0.85                0.85                
location24038 et al             0                   0.46                0                   0                   
location24042 et al             5                   6.15                0.81                0.81                
location24095 et al             1                   1.86                0.54                0.54                
location24111 et al             9                   5.57                1.62                1.62                
location24159 et al             3                   6.15                0.49                0.49                
location24212 et al             0                   5.57                0                   0                   
location24260 et al             7                   6.15                1.14                1.14                
location24313 et al             9                   5.80                1.55                1.55                
location24363 et al             4                   5.80                0.69                0.69                
location24413 et al             9                   6.15                1.46                1.47                
location24466 et al             2                   1.97                1.01                1.01                
location24483 et al             9                   5.91                1.52                1.52                
location2452 et al              4                   4.29                0.93                0.93                
location24534 et al             11                  5.68                1.94                1.94                
location24583 et al             1                   1.51                0.66                0.66                
location24596 et al             6                   6.03                1.00                1.00                
location24648 et al             6                   1.74                3.45                3.45                
location24663 et al             1                   3.25                0.31                0.31                
location24691 et al             3                   6.03                0.50                0.50                
location24743 et al             0                   0.35                0                   0                   
location24746 et al             2                   5.57                0.36                0.36                
location24794 et al             6                   1.39                4.31                4.32                
location24806 et al             5                   6.15                0.81                0.81                
location24859 et al             6                   11.59               0.52                0.52                
location2489 et al              7                   6.03                1.16                1.16                
location24959 et al             5                   5.91                0.85                0.85                
location25010 et al             2                   1.62                1.23                1.23                
location25024 et al             8                   6.15                1.30                1.30                
location25077 et al             0                   1.86                0                   0                   
location25093 et al             8                   5.68                1.41                1.41                
location25142 et al             4                   5.57                0.72                0.72                
location25190 et al             1                   5.91                0.17                0.17                
location25241 et al             6                   5.80                1.03                1.03                
location25291 et al             5                   6.03                0.83                0.83                
location25343 et al             2                   2.20                0.91                0.91                
location25362 et al             3                   4.06                0.74                0.74                
location25397 et al             1                   0.81                1.23                1.23                
location25404 et al             2                   5.57                0.36                0.36                
location2541 et al              0                   5.91                0                   0                   
location25452 et al             1                   0.35                2.87                2.88                
location25455 et al             4                   5.91                0.68                0.68                
location25506 et al             5                   3.13                1.60                1.60                
location25533 et al             4                   6.15                0.65                0.65                
location25586 et al             5                   6.03                0.83                0.83                
location25638 et al             7                   5.80                1.21                1.21                
location25688 et al             0                   1.51                0                   0                   
location25701 et al             9                   6.03                1.49                1.49                
location25753 et al             2                   5.91                0.34                0.34                
location25804 et al             6                   5.68                1.06                1.06                
location25853 et al             8                   6.03                1.33                1.33                
location25905 et al             0                   3.36                0                   0                   
location2592 et al              2                   6.03                0.33                0.33                
location25934 et al             4                   1.51                2.65                2.65                
location25947 et al             2                   1.28                1.57                1.57                
location25958 et al             0                   6.15                0                   0                   
location26011 et al             1                   0.93                1.08                1.08                
location26019 et al             3                   6.03                0.50                0.50                
location26071 et al             3                   4.64                0.65                0.65                
location26111 et al             10                  5.45                1.84                1.84                
location26158 et al             2                   1.51                1.33                1.33                
location26171 et al             2                   6.03                0.33                0.33                
location26223 et al             1                   1.51                0.66                0.66                
location26236 et al             2                   6.15                0.33                0.33                
location26289 et al             5                   3.13                1.60                1.60                
location26316 et al             1                   4.06                0.25                0.25                
location26351 et al             9                   6.15                1.46                1.47                
location26404 et al             2                   1.51                1.33                1.33                
location26417 et al             1                   5.57                0.18                0.18                
location2644 et al              6                   3.59                1.67                1.67                
location26465 et al             7                   3.71                1.89                1.89                
location26497 et al             4                   5.80                0.69                0.69                
location26547 et al             1                   1.62                0.62                0.62                
location26561 et al             1                   1.51                0.66                0.66                
location26574 et al             0                   1.16                0                   0                   
location26584 et al             6                   6.03                1.00                1.00                
location26636 et al             9                   5.68                1.58                1.58                
location26685 et al             13                  5.57                2.34                2.34                
location26733 et al             3                   5.91                0.51                0.51                
location2675 et al              5                   5.68                0.88                0.88                
location26784 et al             5                   6.03                0.83                0.83                
location26836 et al             2                   6.15                0.33                0.33                
location26889 et al             3                   4.41                0.68                0.68                
location26927 et al             6                   6.03                1.00                1.00                
location26979 et al             6                   5.57                1.08                1.08                
location270 et al               3                   1.51                1.99                1.99                
location27027 et al             3                   1.86                1.62                1.62                
location27043 et al             7                   1.86                3.77                3.78                
location27059 et al             1                   1.51                0.66                0.66                
location27072 et al             0                   0.23                0                   0                   
location27074 et al             3                   1.16                2.59                2.59                
location27084 et al             3                   6.15                0.49                0.49                
location27137 et al             5                   1.51                3.32                3.32                
location27150 et al             6                   4.64                1.29                1.29                
location27190 et al             3                   1.16                2.59                2.59                
location27200 et al             3                   1.16                2.59                2.59                
location27210 et al             3                   1.51                1.99                1.99                
location27223 et al             0                   1.51                0                   0                   
location27236 et al             8                   6.15                1.30                1.30                
location2724 et al              3                   5.45                0.55                0.55                
location27289 et al             0                   1.97                0                   0                   
location27306 et al             6                   6.03                1.00                1.00                
location27358 et al             3                   1.51                1.99                1.99                
location27371 et al             3                   1.51                1.99                1.99                
location27384 et al             1                   1.74                0.57                0.57                
location27399 et al             6                   6.15                0.98                0.98                
location27452 et al             5                   5.91                0.85                0.85                
location27503 et al             5                   6.15                0.81                0.81                
location27556 et al             3                   1.51                1.99                1.99                
location27569 et al             3                   6.03                0.50                0.50                
location27621 et al             1                   1.51                0.66                0.66                
location27634 et al             1                   1.62                0.62                0.62                
location27648 et al             1                   5.57                0.18                0.18                
location27696 et al             1                   0.58                1.72                1.73                
location27701 et al             6                   5.80                1.03                1.03                
location2771 et al              2                   5.68                0.35                0.35                
location27751 et al             1                   3.83                0.26                0.26                
location27784 et al             8                   1.62                4.93                4.93                
location27798 et al             5                   5.68                0.88                0.88                
location27847 et al             1                   3.25                0.31                0.31                
location27875 et al             1                   4.52                0.22                0.22                
location27914 et al             3                   1.16                2.59                2.59                
location27924 et al             3                   1.51                1.99                1.99                
location27937 et al             8                   6.15                1.30                1.30                
location27990 et al             5                   5.57                0.90                0.90                
location28038 et al             1                   6.15                0.16                0.16                
location28091 et al             4                   5.57                0.72                0.72                
location28139 et al             1                   6.15                0.16                0.16                
location28192 et al             9                   6.15                1.46                1.47                
location2820 et al              13                  5.91                2.20                2.20                
location28245 et al             14                  6.03                2.32                2.33                
location28297 et al             2                   3.36                0.59                0.59                
location283 et al               4                   6.03                0.66                0.66                
location28326 et al             8                   6.15                1.30                1.30                
location28379 et al             3                   1.51                1.99                1.99                
location28392 et al             6                   5.68                1.06                1.06                
location28441 et al             7                   5.57                1.26                1.26                
location28489 et al             3                   6.15                0.49                0.49                
location28542 et al             15                  5.45                2.75                2.76                
location28589 et al             6                   6.03                1.00                1.00                
location28641 et al             1                   1.51                0.66                0.66                
location28654 et al             0                   1.39                0                   0                   
location28666 et al             1                   3.48                0.29                0.29                
location28696 et al             1                   6.03                0.17                0.17                
location2871 et al              10                  5.91                1.69                1.69                
location28748 et al             10                  5.91                1.69                1.69                
location28799 et al             6                   5.45                1.10                1.10                
location28846 et al             3                   1.51                1.99                1.99                
location28859 et al             13                  14.15               0.92                0.92                
location28981 et al             2                   1.28                1.57                1.57                
location28992 et al             0                   1.51                0                   0                   
location29005 et al             7                   5.57                1.26                1.26                
location29053 et al             6                   5.57                1.08                1.08                
location29101 et al             12                  2.90                4.14                4.15                
location29126 et al             1                   1.62                0.62                0.62                
location29140 et al             5                   5.91                0.85                0.85                
location29191 et al             7                   4.64                1.51                1.51                
location2922 et al              1                   4.52                0.22                0.22                
location29231 et al             0                   5.57                0                   0                   
location29279 et al             3                   5.80                0.52                0.52                
location29329 et al             2                   6.15                0.33                0.33                
