LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location15550 et al             1                   1.00                1.00                1.00                
location15599 et al             3                   3.00                1.00                1.00                
location15648 et al             21                  21.00               1.00                1.00                
location15697 et al             6                   6.00                1.00                1.00                
location15746 et al             14                  14.00               1.00                1.00                
location15795 et al             2                   2.00                1.00                1.00                
location15844 et al             3                   3.00                1.00                1.00                
location15893 et al             8                   8.00                1.00                1.00                
location15942 et al             3                   3.00                1.00                1.00                
location15950 et al             7                   7.00                1.00                1.00                
location15999 et al             0                   0                   n/a                 n/a                 
location1604 et al              2                   2.00                1.00                1.00                
location16048 et al             5                   5.00                1.00                1.00                
location16096 et al             6                   6.00                1.00                1.00                
location16145 et al             15                  15.00               1.00                1.00                
location16194 et al             13                  13.00               1.00                1.00                
location16243 et al             10                  10.00               1.00                1.00                
location16291 et al             7                   7.00                1.00                1.00                
location16304 et al             8                   8.00                1.00                1.00                
location16353 et al             10                  10.00               1.00                1.00                
location16402 et al             10                  10.00               1.00                1.00                
location16451 et al             14                  14.00               1.00                1.00                
location16500 et al             12                  12.00               1.00                1.00                
location1654 et al              27                  27.00               1.00                1.00                
location16549 et al             13                  13.00               1.00                1.00                
location16597 et al             5                   5.00                1.00                1.00                
location16646 et al             1                   1.00                1.00                1.00                
location16695 et al             11                  11.00               1.00                1.00                
location16744 et al             5                   5.00                1.00                1.00                
location16793 et al             6                   6.00                1.00                1.00                
location16841 et al             9                   9.00                1.00                1.00                
location16890 et al             6                   6.00                1.00                1.00                
location16939 et al             5                   5.00                1.00                1.00                
location16987 et al             12                  12.00               1.00                1.00                
location1703 et al              15                  15.00               1.00                1.00                
location17036 et al             12                  12.00               1.00                1.00                
location17086 et al             19                  19.00               1.00                1.00                
location17135 et al             8                   8.00                1.00                1.00                
location17184 et al             2                   2.00                1.00                1.00                
location17229 et al             0                   0                   n/a                 n/a                 
location17235 et al             4                   4.00                1.00                1.00                
location17283 et al             4                   4.00                1.00                1.00                
location17332 et al             6                   6.00                1.00                1.00                
location17381 et al             15                  15.00               1.00                1.00                
location17430 et al             9                   9.00                1.00                1.00                
location17479 et al             14                  14.00               1.00                1.00                
location1752 et al              2                   2.00                1.00                1.00                
location17528 et al             6                   6.00                1.00                1.00                
location17577 et al             4                   4.00                1.00                1.00                
location17626 et al             13                  13.00               1.00                1.00                
location17674 et al             11                  11.00               1.00                1.00                
location17723 et al             6                   6.00                1.00                1.00                
location17772 et al             11                  11.00               1.00                1.00                
location17916 et al             17                  17.00               1.00                1.00                
location1801 et al              1                   1.00                1.00                1.00                
location18014 et al             8                   8.00                1.00                1.00                
location18063 et al             0                   0                   n/a                 n/a                 
location18112 et al             6                   6.00                1.00                1.00                
location18149 et al             3                   3.00                1.00                1.00                
location18198 et al             8                   8.00                1.00                1.00                
location18247 et al             5                   5.00                1.00                1.00                
location18296 et al             9                   9.00                1.00                1.00                
location18328 et al             1                   1.00                1.00                1.00                
location18377 et al             4                   4.00                1.00                1.00                
location18426 et al             12                  12.00               1.00                1.00                
location18475 et al             0                   0                   n/a                 n/a                 
location1850 et al              4                   4.00                1.00                1.00                
location18524 et al             14                  14.00               1.00                1.00                
location18573 et al             6                   6.00                1.00                1.00                
location18622 et al             7                   7.00                1.00                1.00                
location18671 et al             5                   5.00                1.00                1.00                
location18720 et al             7                   7.00                1.00                1.00                
location18769 et al             6                   6.00                1.00                1.00                
location18818 et al             13                  13.00               1.00                1.00                
location18867 et al             10                  10.00               1.00                1.00                
location18916 et al             8                   8.00                1.00                1.00                
location18966 et al             10                  10.00               1.00                1.00                
location1899 et al              2                   2.00                1.00                1.00                
location19014 et al             14                  14.00               1.00                1.00                
location19063 et al             9                   9.00                1.00                1.00                
location19112 et al             15                  15.00               1.00                1.00                
location19162 et al             2                   2.00                1.00                1.00                
location19211 et al             6                   6.00                1.00                1.00                
location19260 et al             9                   9.00                1.00                1.00                
location19309 et al             9                   9.00                1.00                1.00                
location19358 et al             10                  10.00               1.00                1.00                
location19407 et al             4                   4.00                1.00                1.00                
location19456 et al             10                  10.00               1.00                1.00                
location1947 et al              8                   8.00                1.00                1.00                
location19505 et al             12                  12.00               1.00                1.00                
location19554 et al             15                  15.00               1.00                1.00                
location1959 et al              15                  15.00               1.00                1.00                
location19603 et al             14                  14.00               1.00                1.00                
location19652 et al             10                  10.00               1.00                1.00                
location19701 et al             5                   5.00                1.00                1.00                
location19750 et al             5                   5.00                1.00                1.00                
location19799 et al             14                  14.00               1.00                1.00                
location19848 et al             3                   3.00                1.00                1.00                
location19896 et al             8                   8.00                1.00                1.00                
location199 et al               1                   1.00                1.00                1.00                
location19945 et al             9                   9.00                1.00                1.00                
location19993 et al             8                   8.00                1.00                1.00                
location20043 et al             5                   5.00                1.00                1.00                
location2007 et al              7                   7.00                1.00                1.00                
location20092 et al             7                   7.00                1.00                1.00                
location20141 et al             1                   1.00                1.00                1.00                
location20190 et al             9                   9.00                1.00                1.00                
location20239 et al             14                  14.00               1.00                1.00                
location20287 et al             3                   3.00                1.00                1.00                
location20337 et al             7                   7.00                1.00                1.00                
location20356 et al             6                   6.00                1.00                1.00                
location20406 et al             8                   8.00                1.00                1.00                
location20455 et al             3                   3.00                1.00                1.00                
location20553 et al             10                  10.00               1.00                1.00                
location2056 et al              19                  19.00               1.00                1.00                
location20602 et al             10                  10.00               1.00                1.00                
location20651 et al             7                   7.00                1.00                1.00                
location20700 et al             5                   5.00                1.00                1.00                
location20749 et al             11                  11.00               1.00                1.00                
location20798 et al             7                   7.00                1.00                1.00                
location20847 et al             0                   0                   n/a                 n/a                 
location20866 et al             12                  12.00               1.00                1.00                
location20915 et al             11                  11.00               1.00                1.00                
location20964 et al             13                  13.00               1.00                1.00                
