LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location10 et al                14                  14.00               1.00                1.00                
location100 et al               3                   3.00                1.00                1.00                
location1000 et al              5                   5.00                1.00                1.00                
location10000 et al             4                   4.00                1.00                1.00                
location10047 et al             1                   1.00                1.00                1.00                
location10093 et al             12                  12.00               1.00                1.00                
location10143 et al             2                   2.00                1.00                1.00                
location10191 et al             6                   6.00                1.00                1.00                
location1023 et al              4                   4.00                1.00                1.00                
location10241 et al             9                   9.00                1.00                1.00                
location10288 et al             13                  13.00               1.00                1.00                
location10340 et al             7                   7.00                1.00                1.00                
location10388 et al             6                   6.00                1.00                1.00                
location10417 et al             3                   3.00                1.00                1.00                
location10465 et al             2                   2.00                1.00                1.00                
location10510 et al             4                   4.00                1.00                1.00                
location10558 et al             13                  13.00               1.00                1.00                
location10607 et al             4                   4.00                1.00                1.00                
location10658 et al             2                   2.00                1.00                1.00                
location1070 et al              9                   9.00                1.00                1.00                
location10708 et al             1                   1.00                1.00                1.00                
location10753 et al             5                   5.00                1.00                1.00                
location10801 et al             1                   1.00                1.00                1.00                
location10851 et al             3                   3.00                1.00                1.00                
location10896 et al             10                  10.00               1.00                1.00                
location10946 et al             5                   5.00                1.00                1.00                
location10998 et al             1                   1.00                1.00                1.00                
location11048 et al             6                   6.00                1.00                1.00                
location11100 et al             5                   5.00                1.00                1.00                
location11150 et al             2                   2.00                1.00                1.00                
location1117 et al              8                   8.00                1.00                1.00                
location11195 et al             6                   6.00                1.00                1.00                
location11243 et al             14                  14.00               1.00                1.00                
location11295 et al             3                   3.00                1.00                1.00                
location11336 et al             0                   0                   n/a                 n/a                 
location11338 et al             8                   8.00                1.00                1.00                
location11386 et al             10                  10.00               1.00                1.00                
location11432 et al             3                   3.00                1.00                1.00                
location11480 et al             8                   8.00                1.00                1.00                
location11529 et al             1                   1.00                1.00                1.00                
location11579 et al             3                   3.00                1.00                1.00                
location11627 et al             8                   8.00                1.00                1.00                
location1164 et al              9                   9.00                1.00                1.00                
location11673 et al             0                   0                   n/a                 n/a                 
location11724 et al             9                   9.00                1.00                1.00                
location11771 et al             0                   0                   n/a                 n/a                 
location11775 et al             5                   5.00                1.00                1.00                
location11825 et al             5                   5.00                1.00                1.00                
location11869 et al             9                   9.00                1.00                1.00                
location11915 et al             6                   6.00                1.00                1.00                
location11965                   1                   1.00                1.00                1.00                
location11966 et al             8                   8.00                1.00                1.00                
location12014 et al             10                  10.00               1.00                1.00                
location12066 et al             5                   5.00                1.00                1.00                
location1211 et al              4                   4.00                1.00                1.00                
location12114 et al             6                   6.00                1.00                1.00                
location12164 et al             6                   6.00                1.00                1.00                
location12216 et al             3                   3.00                1.00                1.00                
location12266 et al             6                   6.00                1.00                1.00                
location12307 et al             8                   8.00                1.00                1.00                
location12355 et al             1                   1.00                1.00                1.00                
location12405 et al             12                  12.00               1.00                1.00                
location12455 et al             7                   7.00                1.00                1.00                
location12503 et al             6                   6.00                1.00                1.00                
location12553 et al             11                  11.00               1.00                1.00                
location1258 et al              10                  10.00               1.00                1.00                
location12601 et al             3                   3.00                1.00                1.00                
location12649 et al             2                   2.00                1.00                1.00                
location12697 et al             10                  10.00               1.00                1.00                
location12745 et al             1                   1.00                1.00                1.00                
location12791 et al             6                   6.00                1.00                1.00                
location12843 et al             10                  10.00               1.00                1.00                
location12892 et al             11                  11.00               1.00                1.00                
location12937 et al             5                   5.00                1.00                1.00                
location12987 et al             2                   2.00                1.00                1.00                
location13036 et al             3                   3.00                1.00                1.00                
location1305 et al              1                   1.00                1.00                1.00                
location13085 et al             8                   8.00                1.00                1.00                
location13133 et al             5                   5.00                1.00                1.00                
location13181 et al             17                  17.00               1.00                1.00                
location13227 et al             6                   6.00                1.00                1.00                
location13277 et al             12                  12.00               1.00                1.00                
location13327 et al             4                   4.00                1.00                1.00                
location13372 et al             5                   5.00                1.00                1.00                
location13422 et al             2                   2.00                1.00                1.00                
location13434 et al             12                  12.00               1.00                1.00                
location1346 et al              5                   5.00                1.00                1.00                
location13483 et al             7                   7.00                1.00                1.00                
location13534 et al             1                   1.00                1.00                1.00                
location13583 et al             3                   3.00                1.00                1.00                
location13606 et al             6                   6.00                1.00                1.00                
location13654 et al             5                   5.00                1.00                1.00                
location13704 et al             4                   4.00                1.00                1.00                
location13752 et al             11                  11.00               1.00                1.00                
location13803 et al             7                   7.00                1.00                1.00                
location13834 et al             1                   1.00                1.00                1.00                
location13879 et al             1                   1.00                1.00                1.00                
location13929 et al             11                  11.00               1.00                1.00                
location1393 et al              2                   2.00                1.00                1.00                
location13979 et al             5                   5.00                1.00                1.00                
location14025 et al             7                   7.00                1.00                1.00                
location14075 et al             5                   5.00                1.00                1.00                
location14122 et al             9                   9.00                1.00                1.00                
location14173 et al             1                   1.00                1.00                1.00                
location14225 et al             1                   1.00                1.00                1.00                
location14273 et al             2                   2.00                1.00                1.00                
location143 et al               7                   7.00                1.00                1.00                
location14323 et al             4                   4.00                1.00                1.00                
location14368 et al             11                  11.00               1.00                1.00                
location1440 et al              4                   4.00                1.00                1.00                
location14418 et al             12                  12.00               1.00                1.00                
location14465 et al             3                   3.00                1.00                1.00                
location14516 et al             5                   5.00                1.00                1.00                
location14563 et al             1                   1.00                1.00                1.00                
location14613 et al             9                   9.00                1.00                1.00                
location14661 et al             7                   7.00                1.00                1.00                
location14707 et al             9                   9.00                1.00                1.00                
location14759 et al             13                  13.00               1.00                1.00                
