LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location14806 et al             6                   6.00                1.00                1.00                
location14851 et al             1                   1.00                1.00                1.00                
location1487 et al              9                   9.00                1.00                1.00                
location14901 et al             13                  13.00               1.00                1.00                
location14957 et al             10                  10.00               1.00                1.00                
location15007 et al             5                   5.00                1.00                1.00                
location15055 et al             2                   2.00                1.00                1.00                
location15105 et al             7                   7.00                1.00                1.00                
location15155 et al             10                  10.00               1.00                1.00                
location15202 et al             6                   6.00                1.00                1.00                
location15253 et al             2                   2.00                1.00                1.00                
location15301 et al             0                   0                   n/a                 n/a                 
location15304 et al             16                  16.00               1.00                1.00                
location15354 et al             4                   4.00                1.00                1.00                
location1537 et al              17                  17.00               1.00                1.00                
location15404 et al             2                   2.00                1.00                1.00                
location15456 et al             10                  10.00               1.00                1.00                
location15503 et al             7                   7.00                1.00                1.00                
location15548 et al             9                   9.00                1.00                1.00                
location15599 et al             5                   5.00                1.00                1.00                
location15649 et al             0                   0                   n/a                 n/a                 
location15701 et al             7                   7.00                1.00                1.00                
location15751 et al             9                   9.00                1.00                1.00                
location15801 et al             1                   1.00                1.00                1.00                
location15820 et al             13                  13.00               1.00                1.00                
location1587 et al              8                   8.00                1.00                1.00                
location15871 et al             2                   2.00                1.00                1.00                
location15919 et al             15                  15.00               1.00                1.00                
location15964 et al             0                   0                   n/a                 n/a                 
location15976 et al             12                  12.00               1.00                1.00                
location16026 et al             5                   5.00                1.00                1.00                
location16076 et al             0                   0                   n/a                 n/a                 
location16125 et al             5                   5.00                1.00                1.00                
location16153 et al             12                  12.00               1.00                1.00                
location16205 et al             17                  17.00               1.00                1.00                
location16256 et al             5                   5.00                1.00                1.00                
location16300 et al             1                   1.00                1.00                1.00                
location16348 et al             14                  14.00               1.00                1.00                
location1637 et al              12                  12.00               1.00                1.00                
location16399 et al             16                  16.00               1.00                1.00                
location16422 et al             2                   2.00                1.00                1.00                
location16467 et al             3                   3.00                1.00                1.00                
location16515 et al             9                   9.00                1.00                1.00                
location16561 et al             5                   5.00                1.00                1.00                
location16608 et al             16                  16.00               1.00                1.00                
location16659 et al             11                  11.00               1.00                1.00                
location16706 et al             1                   1.00                1.00                1.00                
location16750 et al             23                  23.00               1.00                1.00                
location16796 et al             6                   6.00                1.00                1.00                
location16847 et al             6                   6.00                1.00                1.00                
location16858 et al             18                  18.00               1.00                1.00                
location1687 et al              8                   8.00                1.00                1.00                
location16909 et al             10                  10.00               1.00                1.00                
location16955 et al             2                   2.00                1.00                1.00                
location17000 et al             20                  20.00               1.00                1.00                
location1703 et al              5                   5.00                1.00                1.00                
location17050 et al             3                   3.00                1.00                1.00                
location17095 et al             4                   4.00                1.00                1.00                
location17142 et al             7                   7.00                1.00                1.00                
location17186 et al             8                   8.00                1.00                1.00                
location17232 et al             12                  12.00               1.00                1.00                
location17279 et al             1                   1.00                1.00                1.00                
location17324 et al             2                   2.00                1.00                1.00                
location17370 et al             1                   1.00                1.00                1.00                
location17414 et al             12                  12.00               1.00                1.00                
location17461 et al             16                  16.00               1.00                1.00                
location175 et al               3                   3.00                1.00                1.00                
location17507 et al             3                   3.00                1.00                1.00                
location1753 et al              7                   7.00                1.00                1.00                
location17552 et al             5                   5.00                1.00                1.00                
location1756 et al              9                   9.00                1.00                1.00                
location17603 et al             0                   0                   n/a                 n/a                 
location17605 et al             1                   1.00                1.00                1.00                
location17612 et al             3                   3.00                1.00                1.00                
location17658 et al             0                   0                   n/a                 n/a                 
location17702 et al             0                   0                   n/a                 n/a                 
location17711 et al             1                   1.00                1.00                1.00                
location17761 et al             3                   3.00                1.00                1.00                
location17781 et al             10                  10.00               1.00                1.00                
location17831 et al             4                   4.00                1.00                1.00                
location17878 et al             4                   4.00                1.00                1.00                
location179 et al               11                  11.00               1.00                1.00                
location17928 et al             9                   9.00                1.00                1.00                
location17973 et al             6                   6.00                1.00                1.00                
location18023 et al             5                   5.00                1.00                1.00                
location1806 et al              2                   2.00                1.00                1.00                
location18073 et al             14                  14.00               1.00                1.00                
location18119 et al             3                   3.00                1.00                1.00                
location18164 et al             0                   0                   n/a                 n/a                 
location18214 et al             5                   5.00                1.00                1.00                
location18259 et al             7                   7.00                1.00                1.00                
location18305 et al             4                   4.00                1.00                1.00                
location18351 et al             5                   5.00                1.00                1.00                
location18397 et al             13                  13.00               1.00                1.00                
location18441 et al             11                  11.00               1.00                1.00                
location18487 et al             10                  10.00               1.00                1.00                
location18532 et al             0                   0                   n/a                 n/a                 
location18536 et al             5                   5.00                1.00                1.00                
location1856 et al              14                  14.00               1.00                1.00                
location18582 et al             10                  10.00               1.00                1.00                
location18614 et al             13                  13.00               1.00                1.00                
location18660 et al             16                  16.00               1.00                1.00                
location18704 et al             4                   4.00                1.00                1.00                
location18751 et al             5                   5.00                1.00                1.00                
location18792 et al             9                   9.00                1.00                1.00                
location18838 et al             3                   3.00                1.00                1.00                
location18885 et al             1                   1.00                1.00                1.00                
location18931 et al             4                   4.00                1.00                1.00                
location18977 et al             9                   9.00                1.00                1.00                
location19025 et al             5                   5.00                1.00                1.00                
location1905 et al              4                   4.00                1.00                1.00                
location19057 et al             7                   7.00                1.00                1.00                
location19102 et al             4                   4.00                1.00                1.00                
location19150 et al             4                   4.00                1.00                1.00                
location19172 et al             8                   8.00                1.00                1.00                
location19219 et al             14                  14.00               1.00                1.00                
location19269 et al             3                   3.00                1.00                1.00                
location19313 et al             5                   5.00                1.00                1.00                
location19360 et al             9                   9.00                1.00                1.00                
location19406 et al             15                  15.00               1.00                1.00                
location19452 et al             1                   1.00                1.00                1.00                
location19497 et al             10                  10.00               1.00                1.00                
location19543 et al             5                   5.00                1.00                1.00                
location1955 et al              0                   0                   n/a                 n/a                 
location1958 et al              15                  15.00               1.00                1.00                
location19593 et al             1                   1.00                1.00                1.00                
location19621 et al             7                   7.00                1.00                1.00                
location19664 et al             5                   5.00                1.00                1.00                
location19712 et al             9                   9.00                1.00                1.00                
location19755 et al             1                   1.00                1.00                1.00                
location19777 et al             14                  14.00               1.00                1.00                
location19825 et al             3                   3.00                1.00                1.00                
location19871 et al             3                   3.00                1.00                1.00                
location19919 et al             12                  12.00               1.00                1.00                
location19965 et al             0                   0                   n/a                 n/a                 
location20015 et al             6                   6.00                1.00                1.00                
location20039 et al             12                  12.00               1.00                1.00                
location2008 et al              4                   4.00                1.00                1.00                
location20089 et al             7                   7.00                1.00                1.00                
location20137 et al             2                   2.00                1.00                1.00                
location20147 et al             7                   7.00                1.00                1.00                
location20195 et al             6                   6.00                1.00                1.00                
location20240 et al             11                  11.00               1.00                1.00                
location20286 et al             7                   7.00                1.00                1.00                
location20336 et al             13                  13.00               1.00                1.00                
location20382 et al             2                   2.00                1.00                1.00                
location20432 et al             6                   6.00                1.00                1.00                
location20482 et al             7                   7.00                1.00                1.00                
location20526 et al             16                  16.00               1.00                1.00                
location20576 et al             9                   9.00                1.00                1.00                
location2058 et al              5                   5.00                1.00                1.00                
location20626 et al             16                  16.00               1.00                1.00                
location20676 et al             6                   6.00                1.00                1.00                
location20726 et al             3                   3.00                1.00                1.00                
location20775 et al             3                   3.00                1.00                1.00                
location208 et al               13                  13.00               1.00                1.00                
location20825 et al             2                   2.00                1.00                1.00                
location20870 et al             12                  12.00               1.00                1.00                
location20914 et al             2                   2.00                1.00                1.00                
location20959 et al             12                  12.00               1.00                1.00                
location210 et al               8                   8.00                1.00                1.00                
location21009 et al             16                  16.00               1.00                1.00                
location21059 et al             16                  16.00               1.00                1.00                
location2108 et al              21                  21.00               1.00                1.00                
location21109 et al             10                  10.00               1.00                1.00                
location21159 et al             10                  10.00               1.00                1.00                
location21209 et al             8                   8.00                1.00                1.00                
location21259 et al             13                  13.00               1.00                1.00                
location213 et al               10                  10.00               1.00                1.00                
location21311 et al             3                   3.00                1.00                1.00                
location21357 et al             6                   6.00                1.00                1.00                
location21406 et al             14                  14.00               1.00                1.00                
location21458 et al             4                   4.00                1.00                1.00                
location21508 et al             20                  20.00               1.00                1.00                
location21554 et al             9                   9.00                1.00                1.00                
location2158 et al              5                   5.00                1.00                1.00                
location21601 et al             12                  12.00               1.00                1.00                
location21647 et al             1                   1.00                1.00                1.00                
location21654 et al             12                  12.00               1.00                1.00                
location21706 et al             7                   7.00                1.00                1.00                
location21756 et al             6                   6.00                1.00                1.00                
location21802 et al             5                   5.00                1.00                1.00                
location21850 et al             10                  10.00               1.00                1.00                
location21859 et al             4                   4.00                1.00                1.00                
location21911 et al             2                   2.00                1.00                1.00                
location21958 et al             16                  16.00               1.00                1.00                
location22004 et al             9                   9.00                1.00                1.00                
location22051 et al             4                   4.00                1.00                1.00                
location2207 et al              11                  11.00               1.00                1.00                
location22097 et al             13                  13.00               1.00                1.00                
location22147 et al             2                   2.00                1.00                1.00                
location22195 et al             11                  11.00               1.00                1.00                
location22243 et al             3                   3.00                1.00                1.00                
location22261 et al             1                   1.00                1.00                1.00                
location22309 et al             8                   8.00                1.00                1.00                
location22355 et al             0                   0                   n/a                 n/a                 
location22359 et al             9                   9.00                1.00                1.00                
location22411 et al             13                  13.00               1.00                1.00                
location22462 et al             6                   6.00                1.00                1.00                
location22510 et al             6                   6.00                1.00                1.00                
location2253 et al              7                   7.00                1.00                1.00                
location22560 et al             8                   8.00                1.00                1.00                
location22606 et al             9                   9.00                1.00                1.00                
location22656 et al             4                   4.00                1.00                1.00                
location22704 et al             6                   6.00                1.00                1.00                
location22736 et al             8                   8.00                1.00                1.00                
location22782 et al             3                   3.00                1.00                1.00                
location22832 et al             4                   4.00                1.00                1.00                
location22880 et al             7                   7.00                1.00                1.00                
location22930 et al             9                   9.00                1.00                1.00                
location2295 et al              5                   5.00                1.00                1.00                
location22973 et al             15                  15.00               1.00                1.00                
location23023 et al             24                  24.00               1.00                1.00                
location23071 et al             2                   2.00                1.00                1.00                
location23118 et al             6                   6.00                1.00                1.00                
location23168 et al             13                  13.00               1.00                1.00                
location23214 et al             14                  14.00               1.00                1.00                
location23264 et al             16                  16.00               1.00                1.00                
location23315 et al             4                   4.00                1.00                1.00                
location23362 et al             5                   5.00                1.00                1.00                
location23364 et al             3                   3.00                1.00                1.00                
location234 et al               5                   5.00                1.00                1.00                
location23412 et al             16                  16.00               1.00                1.00                
location2343 et al              4                   4.00                1.00                1.00                
location23462 et al             24                  24.00               1.00                1.00                
location23512 et al             2                   2.00                1.00                1.00                
location23559 et al             6                   6.00                1.00                1.00                
location23609 et al             1                   1.00                1.00                1.00                
location23657 et al             5                   5.00                1.00                1.00                
location23667 et al             11                  11.00               1.00                1.00                
location23713 et al             2                   2.00                1.00                1.00                
location23759 et al             2                   2.00                1.00                1.00                
location23806 et al             14                  14.00               1.00                1.00                
location23856 et al             5                   5.00                1.00                1.00                
location23904 et al             18                  18.00               1.00                1.00                
location2393 et al              2                   2.00                1.00                1.00                
location23952 et al             8                   8.00                1.00                1.00                
location24002 et al             14                  14.00               1.00                1.00                
location24053 et al             3                   3.00                1.00                1.00                
location24100 et al             1                   1.00                1.00                1.00                
location24147 et al             13                  13.00               1.00                1.00                
location24197 et al             10                  10.00               1.00                1.00                
location24245 et al             5                   5.00                1.00                1.00                
location24293 et al             4                   4.00                1.00                1.00                
location24343 et al             0                   0                   n/a                 n/a                 
location24348 et al             9                   9.00                1.00                1.00                
location24350 et al             9                   9.00                1.00                1.00                
location2439 et al              2                   2.00                1.00                1.00                
location24398 et al             4                   4.00                1.00                1.00                
location24446 et al             2                   2.00                1.00                1.00                
location2448 et al              3                   3.00                1.00                1.00                
location24493 et al             4                   4.00                1.00                1.00                
location24541 et al             2                   2.00                1.00                1.00                
location24551 et al             6                   6.00                1.00                1.00                
location24601 et al             9                   9.00                1.00                1.00                
location24647 et al             4                   4.00                1.00                1.00                
location24669 et al             1                   1.00                1.00                1.00                
location24719 et al             9                   9.00                1.00                1.00                
location24765 et al             6                   6.00                1.00                1.00                
location24796 et al             4                   4.00                1.00                1.00                
location24844 et al             4                   4.00                1.00                1.00                
location24891 et al             5                   5.00                1.00                1.00                
location24936 et al             8                   8.00                1.00                1.00                
location2496 et al              12                  12.00               1.00                1.00                
location24984 et al             19                  19.00               1.00                1.00                
location25035 et al             17                  17.00               1.00                1.00                
location25085 et al             3                   3.00                1.00                1.00                
location25135 et al             7                   7.00                1.00                1.00                
location25185 et al             8                   8.00                1.00                1.00                
location25235 et al             3                   3.00                1.00                1.00                
location25282 et al             0                   0                   n/a                 n/a                 
location25319 et al             2                   2.00                1.00                1.00                
location25343 et al             2                   2.00                1.00                1.00                
location25391 et al             12                  12.00               1.00                1.00                
location2542 et al              4                   4.00                1.00                1.00                
location25439 et al             6                   6.00                1.00                1.00                
location25482 et al             2                   2.00                1.00                1.00                
location25531 et al             4                   4.00                1.00                1.00                
location25583 et al             7                   7.00                1.00                1.00                
location25631 et al             1                   1.00                1.00                1.00                
